AAAADDRESS,"Motorist's org. location"
AAABATTERY,"Small energy source"
AAABATTERY,"Small source of energy"
AARONBURRO,"Biblical ass?"
AARONBURRO,"Donkey in early American politics?"
AASINAISLE,"Unhelpful spelling tip #3"
AASINAPPLE,"Abecedarian phrase"
AASINAPPLE,"Phrase that might be heard over a bad connection"
ABACHELORS,"Start of a quote by Samuel Goldwyn"
ABADENDING,"Start of an aphorism"
ABANDONEES,"Acquirers of lost property"
ABATEMENTS,"Moderations of intensity"
ABATEMENTS,"Reductions"
ABATTERIES,"Sources of power"
ABBEYALLEY,"Monastery back street?"
ABBEYRHODA,"Sitcom title character in a nuns' residence?"
ABBOTSFORD,"Fraser Valley community"
ABBOTSFORD,"Home of a BC airshow"
ABBREVIATE,"Shorten"
ABBYDALTON,"""Falcon Crest"" actress"
ABCALLOWAY,"Entertainer who likes to exercise his stomach?"
ABCMURDERS,"Christie mystery, with ""The"""
ABCNETWORK,"One of TV's big three"
ABCRUNCHES,"Sit-up relatives"
ABCRUNCHES,"Stomach strengtheners"
ABDICATING,"Relinquishing power"
ABDICATION,"Edward VIII's action of 1936"
ABDICATORS,"Throne relinquishers"
ABDUCTIONS,"An A of A&E"
ABDUCTTAPE,"Steal office supplies?"
ABEBURROWS,"Playwright digs"
ABECEDARIA,"Primers"
ABELARDNER,"""Sic et Non""/""Gullible's Travels"" authors"
ABELBODIED,"Fit for Eden?"
ABELBODIED,"Physically no match for Cain?"
ABELINCOLN,"""The Great Emancipator"""
ABELINCOLN,"'Vote Yourself a Farm' campaign"
ABELINCOLN,"Champion of freedom"
ABELINCOLN,"Emancipator from Nebraska?"
ABELINCOLN,"First president born outside the original 13 colonies"
ABELINCOLN,"Political leader who patented a system to alter the buoyancy of steamboats"
ABELINCOLN,"Tallest president"
ABELINCOLN,"Union man?"
ABELLERNER,"Solver getting the knack of it?"
ABELSEAMEN,"Genesis military force?"
ABERRANTLY,"In an unnatural way"
ABERRATION,"Anomaly"
ABERRATION,"Deviation from the proper course"
ABERRATION,"Irregularity"
ABERRATION,"Oddity"
ABESTWENTY,"SCORE"
ABHORRENCE,"Hatred"
ABHORRENCE,"Utter loathing"
ABIESIRISH,"""___ Rose"""
ABIGHURDLE,"Answer continued"
ABLEBODIED,"Hale and hearty"
ABLEBODIED,"Physically fit"
ABLEBODIED,"Quite healthy"
ABLESEAMAN,"Boatswain's mate"
ABLESEAMAN,"British Navy rank"
ABLESEAMAN,"Mariner"
ABLESEAMAN,"Salt"
ABLESEAMAN,"Seasoned salt"
ABLESEAMEN,"Salts"
ABLEWASIER,"Phrase inspired by Napoleon"
ABNEGATIVE,"It might be your type"
ABNEGATIVE,"Rarest of the main blood types in the U.S."
ABNEGATORS,"Surrendering sorts"
ABNERYOKUM,"Comics rube"
ABNERYOKUM,"Daisy lover"
ABOARDSHIP,"Cruising, say"
ABOARDSHIP,"On deck, say"
ABODETOJOY,"Behar's home?"
ABOLISHING,"Action demanded by W. L. Garrison"
ABOLISHING,"Wiping out"
ABOMINABLE,"Explosive device eaten by a Wall Street critter?"
ABOMINABLE,"Loathsome"
ABOMINABLE,"Worse than inferior"
ABOMINATED,"Found repugnant"
ABOMINATES,"Loathes"
ABOOMERANG,"Part 4 of the definition"
ABORIGINAL,"First Nations related"
ABORIGINAL,"Native"
ABORIGINAL,"Of the First Nations People of Canada"
ABOUTABOUT,"Concerning the fight?"
ABOUTDOORS,"Entrance exam study guide?"
ABOUTFAITH,"Sermon topic?"
ABOUTFAITH,"Title for a cleric's book?"
ABOUTHOUSE,"Pertaining to Hugh Laurie's show?"
ABOVEBOARD,"*… boar …"
ABOVEBOARD,"Honest"
ABOVEBOARD,"Legitimate"
ABOVEBOARD,"Manna from heaven?"
ABOVEBOARD,"On the up and up"
ABOVEBOARD,"On the up-and-up"
ABOVEBOARD,"Square shooting"
ABOVEBOARD,"Square-shooting"
ABOVEBOARD,"Straightforward"
ABOVEBOARD,"Where the end of this is"
ABOVEBORED,"Beyond being uninterested?"
ABOVEITALL,"Beyond arrogant"
ABOVEITALL,"Oh-so-superior"
ABOVENAMED,"Mentioned previously in text"
ABOVEPRICE,"Incalculably valuable"
ABOVEWATER,"Fiscally solvent"
ABOVEWATER,"Out of difficulty"
ABOVEWATER,"Solvent"
ABPOSITIVE,"Like some blood"
ABPOSITIVE,"Universal recipient type"
ABRAHAMWAS,"""... Before ——, I am"": John 8:58"
ABRAMOVITZ,"Architect running the gamut?"
ABRASSBAND,"A: No strings attached. Q: How do you describe ___?"
ABRIDGMENT,"Shortened version of a written work"
ABROADHINT,"Drop it!"
ABRONXTALE,"1993 Robert De Niro film"
ABRONXTALE,"Film in which De Niro made his directing debut"
ABSENCEOFM,"Paul Newman-Sally Field drama of 1981"
ABSENTMAIL,"Missing letters?"
ABSOFSTEEL,"Bodybuilder's pride"
ABSOFSTEEL,"Hard core?"
ABSOFSTEEL,"Popular '90s workout video"
ABSOFSTEEL,"Video that makes you sit up and listen?"
ABSOLUTELY,"""Certainly"""
ABSOLUTELY,"""No doubt!"""
ABSOLUTELY,"""Oh yes!"""
ABSOLUTELY,"""Yes!"""
ABSOLUTELY,"100%"
ABSOLUTISM,"Moral theory that doesn't allow for shades of gray"
ABSORBENCY,"Terrycloth quality"
ABSORPTION,"Soaking up"
ABSORPTIVE,"Tending to soak up"
ABSTAINERS,"Eligible non-voters"
ABSTINENCE,"Avoidance of spirits"
ABSTINENCE,"Teens in cab exercising self-control (10)"
ABUCKANEAR,"Answer to the riddle"
ABUSEDCARS,"Demolition derby entrants?"
ABUSEDCARS,"Poorly maintained vehicles?"
ABUSEDCARS,"Regulars at the body shop?"
ABYSSINIAN,"Brindled cat"
ABYSSINIAN,"Shorthaired cat breed"
ABYSSINIAN,"Siamese alternative"
ABZUGSLIFE,"Colorful Congresswoman's memoir?"
ACADYAWARD,"Prize since 1928"
ACANEDTENT,"Tepee with poles?"
ACCEDINGTO,"Going along with"
ACCELERATE,"Be a catalyst for"
ACCELERATE,"Step up the pace"
ACCELERATO,"Swift, in music"
ACCENTMOCK,"Ridicule of a foreign speaker?"
ACCENTUATE,"Emphasize"
ACCENTUATE,"Stress"
ACCENTUATE,"Underline"
ACCEPTABLE,"O.K."
ACCEPTANCE,"Belief in"
ACCEPTANCE,"College applicant's good news"
ACCEPTANCE,"Embracing, as of belief"
ACCEPTANCE,"Occasion to give a speech"
ACCESSCODE,"9 on a hotel phone, e.g."
ACCESSCODE,"PIN"
ACCESSCODE,"Password"
ACCESSCODE,"Password's cousin"
ACCESSIBLE,"Easy to get into"
ACCESSROAD,"Freeway neighbor"
ACCESSROAD,"Way onto a highway"
ACCESSROAD,"Way to a highway"
ACCESSROAD,"Way to a highway, perhaps"
ACCIDENTAL,"Chance"
ACCIDENTAL,"Sign that changes the pitch of a note"
