AARONCOPLAND,"""A Lincoln Portrait"" composer"
ABAFTTHEBEAM,"Further back than midship"
ABAKERSDOZEN,"Letters in our alphabet ÷ 'snake eyes' = ___"
ABARBIEQUEUE,"ANSWER TO RIDDLE"
ABBEYLINCOLN,"50's-90's jazz singer"
ABCCOMEABCGO,"Spendthrift's credo, with an easy switch"
ABCLISTENING,"Kind of music, with an easy switch"
ABELMAGWITCH,"Pip's secret benefactor"
ABELMAGWITCH,"Prisoner in ""Great Expectations"""
ABICYCLECANT,"Start of an exhausting quip"
ABIDELINCOLN,"What some Omaha residents can't do?"
ABIDINGFAITH,"What the devout have"
ABIGAILADAMS,"First Lady in 1800"
ABITTOOFARGO,"Overly North Dakotan?"
ABJECTPOVERT,"*Destitution"
ABNERKRAVITZ,"Long-suffering husband of the nosy neighbor on Bewitched"
ABOUTFACEOFF,"Concerning a Travolta-Cage thriller?"
ABOUTSCHMIDT,"Film that garnered Jack Nicholson his 12th Oscar nomination"
ABOUTTHEBUNS,"*End of the response"
ABOUTTHESAME,"End of quote"
ABOUTTOADOPT,"Primed for parenthood, perhaps"
ABOVETHEFOLD,"Shepherd's vantage point?"
ABOYNAMEDSUE,"Grammy-winning song for Johnny Cash"
ABOYNAMEDSUE,"Hit for Johnny written by Shel Silverstein"
ABOYNAMEDSUE,"Johnny Cash classic written by Shel Silverstein"
ABOYNAMEDSUE,"Johnny Cash hit of 1969"
ABRAHAMBEAME,"Happy ex-Mayor of New York?"
ABRAHAMOMAHA,"Springfield's most famous citizen?"
ABRIDGEDITED,"Shorter"
ABSENTEEBALL,"Party where no one shows up?"
ABSOLUTEZERO,"-273.15°C"
ABSOLUTEZERO,"-459.67°F, scientifically"
ABSOLUTEZERO,"Extremely cold state"
ABSOLUTEZERO,"Minus 459.7 degrees Fahrenheit"
ABSOLUTVODKA,"Swedish liquor with memorable ads"
ABSORBENTSEA,"Your first stop on the Sponge Diving Tour?"
ABSQUATULATE,"Go"
ABSTRACTTART,"Small pie à la Pollock?"
ABSTRACTTART,"Theoretical pie?"
ABUNCHOFSOBS,"Prelude to a good cry?"
ACADEMIANUTS,"People who go ga-ga for college?"
ACADEMICHOOD,"University bad guy?"
ACADEMICHOOD,"University thug?"
ACADEMICWEAR,"Professor's duds?"
ACADEMYAWARD,"Accolade in filmdom"
ACADEMYAWARD,"Much-hyped prize"
ACAREERBUTIT,"Part 2 of remark"
ACASEOFHIVES,"The beekeeper had..."
ACCELERATION,"Car tester's performance criterion"
ACCENTEDSEIP,"S T R E S S E D"
ACCEPTREFUSE,"Take in the garbage?"
ACCIDENTALLY,"Riddle, part 2"
ACCLIMATIZED,"Peruvian city in adapted"
ACCOMPANYMEN,"What escorts are usually paid to do?"
ACCOSTRUDELY,"Grab by the shoulder, say"
ACEHIGHFLUSH,"Air hero's sign of embarrass- ment?"
ACEINTHEHOLE,"Desirable situation in a stud game, an expression that has passed into general usage as an advantage or resource kept in reserve until an opportunity presents itself*"
ACEINTHEHOLE,"Ecstatic golfer's shout?"
ACEINTHEHOLE,"Hidden advantage"
ACEINTHEHOLE,"Last resort"
ACEINTHEHOLE,"Resource in reserve"
ACEINTHEHOLE,"Resource kept in reserve (poker term that has become part of general usage)*"
ACEINTHEHOLE,"Resource you might save"
ACEINTHEHULL,"The Red Baron, belowdecks?"
ACELACEPLACE,"Chantilly?"
ACESEXUALITY,"Lifestyle choice of a Cy Young Award winner?"
ACEUNDERFIRE,"Great pitcher on the front lines of battle?"
ACHILLESHEEL,"Chink in one's armor"
ACHILLESHEEL,"Greek guy's sore spot?"
ACHILLESHEEL,"Vulnerable spot"
ACHILLESHEEL,"Weak spot"
ACHILLESHEEL,"Weakness"
ACHINALLOVER,"Boomer's update of a 1965 song by the Guess Who?"
ACHINGJOINTS,"Carpenter's affliction?"
ACQUAINTANCE,"""Dude,"" as in ""I know this one dude..."""
ACROSSTHEWAY,"Over there"
ACRYLICPAINT,"Oil alternative"
ACTEDONESAGE,"Behaved appropriately"
ACTINGOUTAGE,"Temporary talent scarcity?"
ACTIONPACKED,"Like ""Speed"" or ""Snatch,"" say"
ACTIONPACKED,"Like shoot-em-up films"
ACTIVEROSTER,"People playing on a team"
ACTNATURALLY,"Be one's self"
ACTORINSHANE,"VAN HEFLIN"
ACTORLINCOLN,"ELMO"
ACTORSCOSTAR,"Top billing gets shared?"
ACTORSSTUDIO,"Group once directed by Lee Strasberg"
ACTRESSMASON,"MARSHA"
ACUTLETABOVE,"Meat slice on the highest shelf?"
ACWORKORANGE,"1971 Best Picture nominee"
ADAMMANSBACH,"Author of ""Go the F--k to Sleep"" [Jordan]"
ADAYINDUBLIN,"Setting for ""Ulysses"""
ADAYINJUNEAU,"Alaskan mini-vacation?"
ADCEREMONIES,"Commercial debuts, for example?"
ADDADZADSADO,"Complicate commercials for woodworking tools?"
ADDAMSFAMILY,"Theme #2 (Bu-bu-bu-bum *snap* *snap*, bu-bu-bu-bum *snap* *snap*, bu-bu-bu-bum, bu-bu-bu-bum, bu-bu-bu-bum), with ""the"""
ADDERONDACKS,"Snake-infested range?"
ADDERSTONGUE,"Type of fern"
ADDITIONALLY,"To boot"
ADDLEDBRAINS,"BAIRNS"
ADDRESSSUITS,"Deal with the legal actions filed against you?"
ADELEASTAIRE,"""Lady, Be Good!"" costar"
ADELEASTAIRE,"Fred's dancing sister"
ADELEASTAIRE,"Half of a popular vaudeville dance team"
ADESTINATION,"End of the quotation"
ADHESIVEBAND,"Musical group that stays together?"
ADHESIVEBAND,"Musical group that sticks together?"
ADHOCCOMMTEE,"Temporary group"
ADIEUOAKLAND,"Remark from a player who's leaving the Raiders?"
ADIOSAMOEBAS,"Anti-dysentery product?"
ADMENINBLACK,"Jones/Smith film about jingle writers?"
ADMINISTERED,"Gave out"
ADMIREELVIRA,"Look up to the Mistress of the Dark"
ADOLLARSHORT,"… and the other"
ADVICECOLUMN,"Abby's output"
AEOLIANHARPO,"Marxist wind instrument?"
AERIALLADDER,"Piece of firefighting equipment"
AERIEDWELLER,"Eagle"
AEROSOLBOMBS,"Exterminator's supply"
AESOPSFABLES,"Bedtime stories"
AFAMILYWHERE,"Quip, part 2"
AFARMERRAISE,"Middle of the riddle"
AFATESOCRUEL,"Second line of rhyme"
AFEWPOINTERS,"Anita, Bonnie, Ruth and June"
AFFLICTEDAND,"Self-assessment: Part 3"
AFISHINGTERM,"""I don't believe in rock bottom. Rock bottom is like ___."""
AFISTFULOFDS,"1964 remake of the Akira Kurosawa film ""Yojimbo"""
AFLOPOFSHEIK,"Arabian chief's failure?"
AFRAIDOFHITS,"Punchophobic?"
AFRICANAGAPE,"Visibly incredulous Nigerian?"
AFRICANQUEEN,"Charlie Allnut's boat"
AFRICANZEBRA,"Striped galloper"
AFROAMERICAN,"Black"
AFTERAWEEKOF,"Start of a quip"
AFTEREFFECTS,"Secondary results"
AFTERNOONTEA,"Day break"
AFTERNOONTEA,"Reading spot"
AFTERSIXWEAR,"Evening garb"
AFTERTHEBEEP,"When to leave a message"
AFTRAFTDRAFT,"Breeze at the back of a floater?"
AGAINSTGRAIN,"Cattle farmer's political position?"
AGAMEOFDRATS,"Mild swearing competition?"
AGEDNUNSALLY,"Actress Field, reprising her 1960s sitcom role?"
AGEDSULLIVAN,"Gilbert's partner late in life?"
AGEOFANXIETY,"Modern times, to Auden"
AGEOFCONSENT,"Legal threshold"
AGLASSDARKLY,"""For now we see through ___"" (1Cor. 13:12)"
AGLITTERMATE,"Sparkling spouse?"
AGOGETTERRAM,"Type A butter?"
AGOODEXAMPLE,"End of the quip"
AGOODLOSERIS,"Start of a quip"
AGRAINOFSALT,"Skeptic's seasoning?"
AGRITTYPEARL,"To an oyster, it's like a malady"
AGROUNDROBIN,"Red-breasted bird that has been stranded?"
AGUNTHANWITH,"Part 3 of quip"
AHARDBARGAIN,"Somewhat unsatisfactory terms"
AHAYSTACKAND,"Part 6 of the witticism"
AHEADINAGAME,"What's UP?"
AHEADOFSTEAM,"When horsepower was developed?"
AHEARTOFGOLD,"Possession of the generous"
AHELPINGHAND,"Perfect gift for Morticia Addams?"
AHIDEOUSMIND,"Worst Picture of 2001?"
AHOLYTERRIER,"What the priest's doggie was?"
AHOSEDIVIDED,"Why water got diverted in the garden?"
AHUGANDAKISS,"Amorous greeting"
AHUGANDAKISS,"Show of affection"
AHWILDERNESS,"""To screen out Dad, Mom put her headphones on and listened to an audiobook of '___'..."""
AHWILDERNESS,"Eugene O'Neill's only comedy"
AILHOUSEROCK,"Hospital cornerstone?"
AIMANDHAMMER,"All you need to know about a certain tool"
AIMEDTOOHIGH,"Overshot"
AIMSADJUSTOR,"One modifying goals?"
AIMSTOPLEASE,"Focuses on satisfaction"
AINTSHESWEET,"Jack Yellen's question"
AINTSHESWEET,"Roaring Twenties hit"
AINTSHESWEET,"Roaring Twenties hit tune"
AINTWEGOTFUN,"Musical question: ""___?"" Andy's answer: ""No, and what kind of English is that anyway?"""
AIRBORNEDUST,"Koniologist's study"
AIRCANADADRY,"Northern flier / Mixer maker / Put on the line"
AIRDEPARTURE,"Takeoff"
AIRFORCEBASE,"Edwards or Langley, e.g."
AIRFORCEBASS,"Guitar played in the flyboy band?"
AIRFORCEBASS,"Military instrument?"
AIRHAIRCHAIR,"Ventilate a barber's seat?"
AIRLESSSPACE,"Vacuum"
AIRLINEHUBBY,"Spouse of a Delta or United worker?"
AIRLINEPILOT,"Bad job for an acrophobe"
AIRLINEPILOT,"Worker with a view"
AIROFFENSIVE,"Series of sorties"
AIRPLANESPIN,"Wrestling maneuver"
AIRPOLLUTION,"""Where there's smoke, there's..."""
AIRSEARESCUE,"Emergency entailing choppers and divers"
AIRTIGHTCASE,"Not just a strong - - - -, but an ___ ___"
AIRYREASONER,"Light thinker?"
AISLEOFWHITE,"Bridal path?"
AISLEOFWHITE,"Bridal procession area?"
AISLEOFWHITE,"Walkway with an ivory carpet?"
AISLEOFWHITE,"Wedding chapel decor in the Channel?"
AJABWELLDONE,"Compliment to an acupuncturist?"
