AAIIIIIIIIIIIII,"See Notepad"
AAWFORTHECAMERA,"Make faces?"
ABALANCEDBUDGET,"Down on the floor with a..."
ABALLPARKFIGURE,"Quip: Part 4"
ABBEYROADTORUIN,"Guardian headline about the decline of a North London street? (The Beatles / The Ramones)"
ABBREVIATIONSTO,"PART 3 OF INSTRUCTIONS"
ABCDAYTIMEHOSTS,"Regis Philbin and others"
ABCLETELEVISION,"Network merger between an American company and a French one?"
ABDULJABBARBIRD,"A six-time and a three-time winner"
ABEANDSILENTCAL,"Part three of quip"
ABEARDEDMARXIST,"""The Making of ___"" (college newspaper article by Senate candidate Chris Coons)"
ABELGIANWAFFLES,"End of the quip"
ABENDINTHERIVER,"1979 V.S. Naipaul novel"
ABERDEENTERRIER,"FDR's Fala, e.g."
ABERDEENTERRIER,"Fala, for one"
ABERDEENTERRIER,"Scottie"
ABERDEENTERRIER,"Scottie, formerly"
ABETTERMUSETRAP,"New device that can capture Euterpe?"
ABIDEBYTHERULES,"Behave"
ABIESIRISHROAST,"Play about a guy ordering beef from Dublin?"
ABIGAILVANBUREN,"Celebrity born July 4, 1918"
ABIGAILVANBUREN,"Columnist born 7/4/1918"
ABIGAILVANBUREN,"Columnist for the lovelorn"
ABIGAILVANBUREN,"Pauline Esther Friedman's writing name"
ABLEPERSONALITY,"Qualified individual?"
ABLEROFFFORELBA,"Like Napoleon, palindromically?"
ABOOKISMANSBEST,"Quip, part 2"
ABOOKOFTHEBIBLE,"GENESIS"
ABOOTHINTHEBACK,"Diner's request for privacy, perhaps"
ABOUTFINDSABONE,"End of the adage"
ABOUTTHEHUSBAND,"Quip, part 3"
ABOVETHEHORIZON,"Where to see the sun and moon at times"
ABOVETHESURFACE,"Where porpoises breathe"
ABOVETHEWEATHER,"Safe from a storm, as a plane"
ABOVEUSTHEWAVES,"1956 John Mills film"
ABOWLOFCHERRIES,"Life, they say"
ABOWLOFCHERRIES,"Life, to lyricis Lew Brown"
ABOWLOFCHERRIES,"Life, to some"
ABOWLOFCHERRIES,"What life is, in song"
ABOYNAPALMEDSUE,"Song about one young man's truly burning desire?"
ABRAHAMANDSARAH,"Biblical pair"
ABRAHAMNEBRASKA,"CORNHUSKER PRESIDENT"
ABRAHAMSLINCOLN,"16th president's car?"
ABRAHAMZAPRUDER,"Man with a camera, 1963"
ABRAINANDAPENIS,"Part 2 of the quote"
ABREATHOFSANDAL,"irst thing that hits you in the Roman Army's locker room?"
ABRIDGEDDICTION,"Reference book, aptly"
ABRIEFHISTORYOF,"Popular science book by Stephen Hawking"
ABROOMOFONESOWN,"Novel about acquiring Quidditch equipment?"
ABSENCEOFLEAVES,"Result of a good raking?"
ABSENCEOFMALICE,"1981 Newman movie"
ABSENCEOFMALICE,"1981 Paul Newman/Sally Field film"
ABSENCEOFMALICE,"1981 movie starring our subject"
ABSENCEOFMALICE,"AFORE-THOUGHT"
ABSENCEOFMALICE,"Film in which Newman gets revenge"
ABSENCEOFMALICE,"Newman film"
ABSENCEOFMALICE,"Newman-Field movie"
ABSENCEOFMALICE,"Paul Newman film"
ABSENCEOFMALICE,"Paul Newman film of '81"
ABSENCEOFMOTION,"Rest"
ABSENTEEBALLADS,"Melodies from afar?"
ABSENTEEBALLOTS,"Some mail from American soldiers"
ABSENTEEBALLOTS,"They're cast over the ocean?"
ABSOLUTECEILING,"Aircraft's altitude limit"
ABSOLUTELYRIGHT,"Unquestionably correct"
ABSOLUTEMONARCH,"Despot"
ABSOLUTEMONARCH,"Supreme ruler"
ABSORBENTMINDED,"Like a fast learner?"
ABSTAINFROMFOOD,"Fast"
ABSTRACTALGEBRA,"Generalizing branch of mathematics"
ABSTRACTIONISTS,"Pollock and Kline, e.g."
ABSTRACTPOINTER,"Vague piece of advice?"
ABUNCHOFBALONEY,"An unbelievable tale"
ABUNDANTLYCLEAR,"Not just very c----, but ___ ___"
ABUNDLEOFNERVES,"Jitters"
ABURGLARSTOLEIT,"Homework excuse #2"
ABUSHELANDAPECK,"""Guys and Dolls"" love song"
ABUSHELANDAPECK,"""Guys and Dolls"" song"
ABUSHELANDAPECK,"Broadway song that comes after ""I'll Know"""
ABUSHELANDAPECK,"Broadway song that comes before ""Adelaide's Lament"""
ABUSHELANDAPECK,"Lots, lovewise"
ABUSHELANDAPECK,"Spirited song from Guys and Dolls"
ABUSINESSAFFAIR,"1994 Christopher Walken comedy"
ABUTTERTOMORROW,"What a low-carb dieter looks forward to?"
ACADEMICCIRCLES,"College professors travel in them"
ACADEMICCIRCLES,"School rings?"
ACADEMICDEGREES,"College awards"
ACADEMICDEGREES,"College conferrals"
ACADEMICDEGREES,"Collegiate goals"
ACADEMICDEGREES,"They're often framed"
ACADEMICFREEDOM,"Scholarly right"
ACADEMICPROGRAM,"Curriculum"
ACADEMICSESSION,"A certain quarter"
ACADEMICSESSION,"QUARTER"
ACADEMYAWARDSOR,"Quip, part 2"
ACAMOUFLAGESUIT,"Quip, part 2"
ACAPPELLAZINGER,"Witty remark belted out without instrumental backup?"
ACARNAMEDDESIRE,"Herbie the Love Bug, for more mature audiences?"
ACARTONOFORANGE,"Query, part 2"
ACASEFORHOLDING,"Quip: Part 2"
ACASEFORHOLDING,"The dark humor continues"
ACASTOFMILLIONS,"Start of a promotional slogan"
ACCELERATIONIST,"Certain economist"
ACCEPTEDANAWARD,"Showed up for honors, say"
ACCESSAREACOLOR,"Three codes"
ACCESSHOLLYWOOD,"Aptly named TV show about ENTER-tainment"
ACCESSTOTHEROOF,"Oral surgeon's apartment-hunting requirement?"
ACCIDENTALBREAK,"Fluke?"
ACCIDENTALSNORE,"Inadvertent night noise?"
ACCIDENTREPORTS,"Adjusters' concerns"
ACCIDENTREPORTS,"They may describe spills"
ACCIDENTSHAPPEN,"""That's the way it goes"""
ACCIDENTSHAPPEN,"A bit of fatalism after a fender bender"
ACCOMPLISHEDBYA,"Part 2 of quote"
ACCOMPLISHMENTS,"Banquet rationale"
ACCORDINGTOCARP,"The World ___ (fish story?)"
ACCORDINGTOPLAN,"Ideally"
ACCOUNTANTSHOPE,"NO ERRORS"
ACCOUNTINGCROWS,"Birds who get busy right up to April?"
ACCOUNTINGSHEEP,"Meek number cruncher?"
ACCOUNTSPAYABLE,"Balance sheet item"
ACCOUNTSPAYABLE,"Ledger column"
ACCRUEDDIVIDEND,"Unpaid stock benefit"
ACCRUEDINTEREST,"Bank calculation"
ACCRUEDINTEREST,"Loan payoff component"
ACCRUEDINTEREST,"Payback factor"
ACCRUEDSNTEREST,"I.R.A. calculation"
ACERTAINROMANCE,"Arctic Monkeys jam off debut"
ACESONNETVERSES,"... scrambled to produce poets laureate work about the web?"
ACEUPONESSLEEVE,"Concealed advantage"
ACEUPONESSLEEVE,"Hidden asset"
ACEUPONESSLEEVE,"Hidden resource"
ACEUPONESSLEEVE,"It's surprising when played"
ACEUPONESSLEEVE,"Secret advantage"
ACEUPONESSLEEVE,"Secret weapon"
ACEUPONESSLEEVE,"Tactic held in reserve"
ACHAPSJOKESLIKE,"Middle of the quip"
ACHEAPUSEDCARIS,"Start of a quip"
ACHEEPIMITATION,"Bird call competition?"
ACHIEVABLEGOALS,"They're not too hard to reach"
ACHIEVESVICTORY,"Wins"
ACHILDISWAITING,"Judy Garland movie of 1963"
ACHILLESTENDONS,"Football trainers' concerns"
ACHILLESTENDONS,"Locales of frequent injuries"
ACHILLESTENDONS,"They help move calves"
ACHILLESTENDONS,"They help you get a leg up"
ACHRISTMASCARLO,"Film producer Ponti dressed up as Santa?"
ACHRISTMASCAROB,"Novel about holiday candy?"
ACHRISTMASCAROL,"1843 work in five ""staves"""
ACHRISTMASCAROL,"1984 George C. Scott movie"
ACHRISTMASCAROL,"Classic Dickens title (from whose 10 letters this puzzle was constructed)"
ACHRISTMASCAROL,"Classic ghost story"
ACHRISTMASCAROL,"Dickens called it ""a ghostly little book"""
ACHRISTMASCAROL,"Dickens title"
ACHRISTMASCAROL,"Holiday airing"
ACHRISTMASCAROL,"It begins, 'Marley was dead: to begin with.'"
ACHRISTMASCAROL,"Moseley Braun, lighting the tree as president?"
ACHRISTMASCAROL,"Mr. Fezziwig, Mrs. Dilber, and Fan?"
ACHRISTMASCAROL,"Seasonal classic"
ACHRISTMASCAROL,"Seasonal ghost story"
ACHRISTMASCAROL,"Story about a miser"
ACHRISTMASCAROL,"Where to find 17A and 55A"
ACHRISTMASCLARO,"Film about Santa enjoying his holiday cigar?"
ACHRISTMASSTORY,"*Holiday movie with the repeated line ""You'll shoot your eye out!"""
ACHRISTMASSTORY,"1983 Jean Shepherd film memoir"
ACHRISTMASSTORY,"1983 film based on a Jean Shepherd book"
ACHRISTMASSTORY,"Ralphie Parker's saga"
ACHRISTMASSTORY,"Seasonal movie of 1984"
ACHYBREAKYHEART,"Christiaan Barnard's favorite number?"
ACHYBREAKYHEART,"Country hit Stan tries unsuccessfully to dance to on ""South Park"""
ACIDCRASHDNALAB,"Test group (4 members)"
ACIDRAINOSINESS,"Threat to sugar maples / Gossip's quality"
ACIDVISIONQUEST,"... then I go on an..."
ACIDWASHEDJEANS,"Certain 80's clothing fashion"
ACLOCKWORKFRUIT,"Generic Stanley Kubrick movie of 1971?"
ACLOCKWORKLEMON,"Not an Anthony Burgess title?"
ACLOCKWORKORANG,"Film about simian predictability?"
ACLOCKWORKORANG,"Kubrick's anthropoid study?"
ACLOCKWORKORANG,"Movie about a mechanical ape?"
ACLOCKWORKORANG,"Movie about the zoo's most punctual simian?"
ACLOCKWORKORANG,"Movie short about a perfectly timed ape?"
ACLOCKWORKORANG,"Study on anthropoid regimentation?"
ACLOCKWORKORANG,"Unfinished Anthony Burgess work about a punctual primate?"
ACLOCKWORKRANGE,"Computerized stove?"
ACLOGWORKORANGE,"Netherlands cobbler's fruit preference?"
ACLUMSYWATERBOY,"Jill's JACK"
ACMECORPORATION,"Fictional maker of earthquake pills and elephant bullets"
ACMECORPORATION,"Wile E. Coyote's supplier"
ACMECORPORATION,"Wile E. Coyote's supply company"
ACOMEDYOFERRORS,"An early Mets' game?"
ACOPCOPPEDACOPT,"Riddle's answer"
ACOUSTICCOUPLER,"Modem between a computer and a telephone handset"
ACOUSTICGUITARS,"They may be picked"
ACQUIREDFOURNEW,"PART 3 OF RIDDLE"
ACROOKHEMAYSOON,"Candidate's warning, part II"
ACROSSTHEBORDER,"Like Tijuana, e.g."
ACROSSTHEBORDER,"Like an extradition transition"
ACROSSTHEMERSEY,"Route for a Liverpool ferry, in song"
ACROSSTHESTREET,"Like 101, to 102?"
ACROSSTHESTREET,"Like a house you can see, perhaps"
ACROSSTHESTREET,"Not on this side"
ACROSSTHESTREET,"Very close, in a way"
ACROSSTHESTREET,"Within a stone's throw"
ACTCOMESLEEPALL,"...FOUR MORE"
ACTINGINCONCERT,"Hamming it up at Philharmonic performance?"
ACTIONADVENTURE,"""Indiana Jones"" genre"
ACTIONADVENTURE,"Cops-and-robbers series"
ACTIONADVENTURE,"Video game genre"
ACTIVATEABUTTON,"-"
ACTIVATEATOILET,"FLUSH"
ACTIVEINTERESTS,"Dating service questionnaire heading"
ACTIVEINTERESTS,"Hobbies and such"
ACTIVEINTERESTS,"Things you enjoy doing"
ACTIVEINTERESTS,"Things you're into"
ACTIVEVOLCANOES,"Cotopaxi and Hekla, e.g."
ACTIVEVOLCANOES,"Ecuador's Cotopaxi et al."
ACTIVEVOLCANOES,"They're likely to blow"
ACTIVEVOLCANOES,"They're likely to come to blows"
ACTIVISTMALCOLM,"X"
ACTLIKEGODZILLA,"Squash"
ACTOFAGGRESSION,"Cause of conflict, often"
ACTOFFRIENDSHIP,"Kindly gesture"
ACTOFPARLIAMENT,"English passage?"
ACTORSLOOKALIKE,"DOUBLE"
ACTRESSCARLISLE,"Kitty"
ACTRESSCHANNING,"CAROL"
ACTRESSLYNDADAY,"GEORGE"
ACTRESSPENELOPE,"CRUZ"
ACTRESSVIRGINIA,"MAYO"
ACTSINGOODFAITH,"Demonstrates sincere intentions"
ACTUARIALTABLES,"Insurance premium input"
ACUESTICKGUITAR,"What a pool player plays when he's not playing pool?"
ACUESTICKGUITAR,"What the pool player started ""playing"" when his favorite song came on the radio?"
ADAGEOFAQUARIUS,"Bit of horoscope wisdom?"
ADAGEOFAQUARIUS,"Water-carrier's motto?"
ADAMDIDNTHAVETO,"Start of a quip"
ADANGEROUSPLACE,"1978 Daniel Patrick Moynihan memoir"
ADANGEROUSWOMAN,"1993 Debra Winger drama based on a Mary McGarry Morris novel"
ADDAPINCHOFSALT,"Cooking instruction hinting at this puzzle's theme?"
ADDEDATTRACTION,"It's not on the standard bill"
ADDONFORALETTER,"PS"
ADDRESSEDTOKILL,"Like a poison pen letter?"
ADDRESSTHECROWD,"Spout from a soapbox"
ADDTWOLETTERSTO,"Part 1 of political brain teaser"
ADECKWITHJOKERS,"FIFTY-FOUR"
ADEEPKETTLEWITH,"Part 3 of recipe"
ADEFINITEREASON,"End of the suspicious quip"
ADELAIDESLAMENT,"""Guys and Dolls"" showstopper"
ADELAIDESLAMENT,"""Guys and Dolls"" song"
ADELAIDESLAMENT,"""Guys and Dolls"" tune"
ADELAIDESLAMENT,"Classic Frank Loesser song from a 1950 musical"
ADELIENEWSPAPER,"It accompanies the penguin's breakfast?"
