AAAMILNE,"Children's author and roadside helper?"
AAAPAPER,"Minor league contract?"
AAARATED,"Like some bonds"
AAARATED,"Like the best bond investments"
AAARATED,"Like the best bonds"
AAARATED,"Like the safest corporate investments"
AAARATED,"Superior, as an investment"
AAARATED,"Top-notch, as bonds"
AARDVARK,"Ant bear"
AARDVARK,"Ant colony threat"
AARDVARK,"Anteater"
AARDVARK,"Ants' foe"
AARDVARK,"First animal?"
AARDVARK,"First name in animals"
AARDVARK,"Its diet is mostly ants and termites"
AARDVARK,"Literally, 'earth pig'"
AARDVARK,"Picnickers' pet?"
AARDVARK,"Termite devourer"
AARDVARK,"Termite predator"
AARDWOLF,"Cousin of a hyena"
AARONITE,"Eleazar, for one"
AARONITE,"Old Testament priest"
AAVERAGE,"4.0"
AAVERAGE,"It's above 90"
AAVERAGE,"It's between 90 and 100"
AAVERAGE,"Student's achievement"
AAVERAGE,"Top student's pride"
AAVERAGE,"Valedictorian's pride"
ABACULUS,"Mosaic tile"
ABACUSES,"Early adders"
ABACUSES,"Old-style calculating machines"
ABACUSES,"You can count on them"
ABACUSES,"You can count on them!"
ABADIDEA,"Not advisable"
ABALANCE,"Strike — (equalize)"
ABALONES,"A mother-of-pearl source"
ABALONES,"Button sources"
ABALONES,"Ear shells"
ABALONES,"Edible mollusks that cling to rocks"
ABALONES,"Favorite food of sea otters"
ABALONES,"Large mollusks"
ABALONES,"Mollusks in bowllike shells"
ABALONES,"Mother-of-pearl source"
ABALONES,"Mother-of-pearl sources"
ABALONES,"Nacre sources"
ABALONES,"Nacre suppliers"
ABALONES,"Nacred mollusks"
ABALONES,"Sea mollusks"
ABALONES,"Sea otter's dinner"
ABALONES,"Sea-ears"
ABALONES,"Tasty mollusks"
ABANDONS,"Deserts"
ABANDONS,"Forsakes"
ABANDONS,"Gives up"
ABANDONS,"Leaves in the lurch"
ABANDONS,"Leaves unfinished"
ABANDONS,"Relinquishes"
ABANDONS,"Strands"
ABANDONS,"Walks out on"
ABARGAIN,"What shoppers hope to find"
ABASHING,"Discomfiting"
